,experiment_code,metabolite_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
153,C0.11,f6p_c,2.83862,2.84262,2.88225,3.24036,4.933,5.66695,5.67022,5.6707,5.670719999999999
154,C0.11,fdp_c,1.05962,1.05962,1.05962,1.05997,1.07344,1.1541299999999999,1.25399,1.27959,1.27947
155,C0.11,g3p_c,0.0975812,0.0975812,0.0975815,0.0975872,0.098031,0.101564,0.107055,0.10845,0.10844300000000001
156,C0.11,13dpg_c,0.028228500000000004,0.028228500000000004,0.028228500000000004,0.028228800000000002,0.0282564,0.029059199999999997,0.033308199999999996,0.0344156,0.034411699999999996
157,C0.11,dhap_c,0.9071610000000001,0.9071610000000001,0.9071610000000001,0.9071940000000001,0.9112110000000001,0.944045,0.9939549999999999,1.00661,1.00655
158,C0.11,pep_c,2.2589599999999996,2.2589599999999996,2.2589599999999996,2.2589599999999996,2.25916,2.30887,2.64469,2.73243,2.7321400000000002
159,C0.11,pyr_c,22.061999999999998,22.061999999999998,22.061999999999998,22.061999999999998,22.061999999999998,22.08,22.6243,22.7863,22.7859
160,C0.11,pi_c,45.0461,45.0461,45.0461,45.0461,45.0461,45.0461,45.0461,45.0461,45.0461
161,C0.11,6pgl_c,11.2517,11.2518,11.2526,11.2609,11.3426,12.1036,16.6441,22.0027,22.1152
162,C0.11,6pgc_c,3.29385,3.29385,3.29385,3.29388,3.2942,3.29883,3.4090300000000004,4.19695,4.39727
163,C0.11,ru5p-D_c,0.47950600000000004,0.47950600000000004,0.47950600000000004,0.47951000000000005,0.47955,0.48000200000000004,0.487208,0.566238,0.588482
164,C0.11,r5p_c,0.81219,0.81219,0.812191,0.8121970000000001,0.8122590000000001,0.812934,0.823362,0.949313,0.9857030000000001
165,C0.11,e4p_c,0.237367,0.237367,0.237367,0.237342,0.235889,0.21285700000000002,0.14033900000000002,0.140593,0.176709
166,C0.11,xu5p-D_c,1.87388,1.87388,1.87388,1.8739,1.8740599999999998,1.87585,1.9035400000000002,2.21306,2.30051
167,C0.11,s7p_c,5.549259999999999,5.549259999999999,5.549259999999999,5.54929,5.55085,5.57506,5.65994,5.8123,7.317060000000001
168,C0.16,atp_c,4.66595,4.66595,4.66595,4.66595,4.66595,4.66595,4.66595,4.66595,4.66595
169,C0.16,adp_c,0.839305,0.839305,0.839305,0.839305,0.839305,0.839305,0.839305,0.839305,0.839305
170,C0.16,nad_c,8.687619999999999,8.687619999999999,8.687619999999999,8.687619999999999,8.687619999999999,8.687619999999999,8.687619999999999,8.687619999999999,8.687619999999999
